#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-01-03T19:18:19 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ586bf8d15886	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/432/1203&tab:{J/MNRAS/432/1203/table2}&key:source=J/MNRAS/432/1203/table2&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/432/1203/table2
#-order=I
#-out=KIC
#-out=Teff
#-out=logg
#-out=f_logg
#-out=Mass
#-out=Per
#-out=e_Per
#-out=Amp
#-out=Flag
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_74321203
#Name: J/MNRAS/432/1203
#Title: Rotation periods of M-dwarf stars (McQuillan+, 2013)
#Table	J_MNRAS_432_1203_table2:
#Name: J/MNRAS/432/1203/table2
#Title: M-dwarfs with detected rotation periods
#Column	KIC	(I8)	KIC identification number (V/133)	[ucd=meta.id]
#Column	Teff	(I4)	Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	? Surface gravity	[ucd=phys.gravity]
#Column	f_logg	(A1)	[i] i for -{infinity}	[ucd=meta.code]
#Column	Mass	(F7.4)	Star mass	[ucd=phys.mass]
#Column	Per	(F6.3)	Rotation period	[ucd=time.period]
#Column	e_Per	(F6.3)	rms uncertainty on Per	[ucd=stat.error]
#Column	Amp	(F6.2)	[0.7/160] Amplitude of variability	[ucd=src.var]
#Column	Flag	(A2)	Flag on binarity or periodicity (1)	[ucd=meta.code.error]
#Column	_RA	(F10.6)	Positions from KIC (Cat. V/133) catalog (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F10.6)	Positions from KIC (Cat. V/133) catalog (declination part)	[ucd=pos.eq.dec;meta.main]
#KIC	Teff	logg	f_logg	Mass	Per	e_Per	Amp	Flag	_RA	_DE
# 	K	[cm/s2]	 	Msun	d	d	mmag	 	deg	deg
#————	----	-----	-	-------	------	------	------	--	----------	----------
 4833367	3943	 4.51	 	 0.5209	14.201	 0.035	  6.20	  	291.092620	+39.940319
 4844987	3716	 4.24	 	 0.4334	22.549	 0.305	  4.90	  	294.382690	+39.973469
 4850610	3874	 4.41	 	 0.4939	18.482	 0.034	  5.80	  	295.704320	+39.975689
 4902806	3676	 4.36	 	 0.4184	36.658	18.923	  8.30	  	283.968690	+40.081120
 4904647	3512	 4.03	 	 0.3586	40.683	19.777	  7.60	  	284.866150	+40.025002
 4908089	3897	 4.46	 	 0.5029	24.990	 0.657	  3.20	  	286.464540	+40.002399
 4913852	3785	 4.36	 	 0.4596	34.829	 0.079	 15.40	PL	288.812010	+40.033401
 4918333	3718	 4.57	 	 0.4342	19.759	 0.025	  7.90	  	290.132540	+40.091728
 4921143	3507	 4.02	 	 0.3568	42.032	10.634	  4.20	  	290.965210	+40.037579
 4929016	3973	 4.49	 	 0.5327	11.954	 0.030	 43.50	  	293.278840	+40.085171
 4931385	4000	 4.42	 	 0.5434	17.900	 5.127	 32.70	  	293.906220	+40.057652
 4946028	3999	 4.42	 	 0.5430	38.579	 9.652	  3.10	  	297.230770	+40.067108
 4951915	3865	 4.61	 	 0.4904	22.017	 0.529	  3.40	  	298.481930	+40.078781
 4953358	3843	 4.61	 	 0.4819	 0.654	 0.000	 37.90	PB	298.777770	+40.092388
 4991026	3801	 4.48	 	 0.4658	29.465	 0.332	  6.50	  	284.373660	+40.102531
 4991533	3987	 4.56	 	 0.5382	18.186	 0.086	  5.80	  	284.606380	+40.124851
 4994641	3905	 4.61	 	 0.5060	22.753	 0.289	  4.00	  	286.091580	+40.158661
 4995581	3682	 4.44	 	 0.4207	42.502	12.299	  7.80	  	286.491730	+40.106682
 5005406	3802	 4.38	 	 0.4661	31.458	 0.131	 14.50	  	290.062260	+40.114021
 5015405	3897	 4.51	 	 0.5029	31.304	 0.166	 11.40	  	293.060910	+40.174789
 5016904	3660	 4.38	 	 0.4125	24.153	 0.318	 12.30	  	293.485690	+40.181839
 5027715	3668	 4.35	 	 0.4155	42.400	16.991	  6.90	  	295.987550	+40.113621
 5041192	3693	 4.55	 	 0.4248	10.789	 0.010	 18.80	  	298.776060	+40.155338
 5077889	3735	 4.45	 	 0.4406	48.234	22.319	  7.00	  	283.663640	+40.234699
 5080636	3673	 4.51	 	 0.4173	35.248	 0.464	 12.10	PL	285.013090	+40.220749
 5083480	3912	 4.85	 	 0.5088	39.457	18.699	 12.70	  	286.384370	+40.248650
 5087108	3861	 4.33	 	 0.4889	28.015	 0.758	  3.20	  	287.934780	+40.234299
 5087223	3999	 4.50	 	 0.5430	32.244	 0.087	  4.20	  	287.974550	+40.255230
 5096204	3978	 4.28	 	 0.5347	14.774	 0.025	  5.10	  	290.862430	+40.291679
 5096924	3904	 4.45	 	 0.5056	27.258	 0.121	  9.40	  	291.087190	+40.217850
 5108451	3650	 4.50	 	 0.4088	45.158	12.091	  4.79	  	294.342860	+40.292542
 5108769	3730	 4.54	 	 0.4387	31.294	 1.697	  5.00	  	294.428040	+40.241131
 5110832	3660	 4.27	 	 0.4125	25.052	 0.712	  7.80	  	294.949890	+40.289921
 5112157	3965	 4.55	 	 0.5296	26.666	 0.106	 12.90	  	295.248470	+40.268318
 5123682	3865	 4.67	 	 0.4904	21.782	 0.099	  4.20	  	297.745940	+40.284740
 5124372	3944	 4.54	 	 0.5213	36.403	 0.131	 13.70	  	297.882290	+40.253429
 5124735	3897	 4.47	 	 0.5029	17.624	 0.126	  6.20	  	297.955470	+40.249901
 5164701	3832	 4.46	 	 0.4777	30.140	 0.236	  9.90	  	283.459320	+40.388729
 5165872	3829	 4.43	 	 0.4765	17.604	 0.046	 13.00	  	283.976140	+40.338120
 5177193	3937	 4.48	 	 0.5186	27.218	 0.061	 16.10	  	288.849090	+40.304001
 5182822	3955	 4.36	 	 0.5256	15.489	 0.064	 10.10	  	290.501040	+40.370300
 5184740	3863	 4.62	 	 0.4897	44.688	16.129	  9.90	  	291.130040	+40.336311
 5193112	3730	 4.33	 	 0.4387	21.271	 0.062	  8.60	  	293.582210	+40.387089
 5196068	3982	 4.41	 	 0.5363	20.720	 0.953	  1.30	  	294.340520	+40.374161
 5200198	3582	 4.44	 	 0.3838	53.311	27.901	  9.50	  	295.360320	+40.370251
 5200500	3914	 4.60	 	 0.5095	19.351	 0.049	 10.30	  	295.423860	+40.312820
 5201711	3848	 4.56	 	 0.4839	37.516	14.690	  2.90	  	295.692810	+40.399361
 5202421	3982	 4.50	 	 0.5363	23.397	 0.136	  6.70	  	295.836400	+40.344978
 5206997	   0	     	i	 0.0000	24.929	 0.095	  5.70	  	296.792910	+40.341255
 5207289	3736	 4.67	 	 0.4410	18.707	 0.029	 14.70	  	296.852360	+40.353561
 5210507	3921	 4.40	 	 0.5123	 8.827	 4.309	 34.80	  	297.509310	+40.399311
 5211564	3719	 4.49	 	 0.4346	32.357	 0.534	 13.60	  	297.727510	+40.353390
 5254309	3966	 4.43	 	 0.5300	15.009	 0.030	 12.80	  	284.086300	+40.475510
 5266549	3855	 4.57	 	 0.4866	15.223	 0.021	 10.10	  	289.214780	+40.427341
 5268680	3660	 4.47	 	 0.4125	39.989	19.291	 10.50	  	289.875610	+40.446510
 5268904	3661	 4.27	 	 0.4129	 4.373	 0.000	  9.50	  	289.942260	+40.473560
 5284217	3921	 4.51	 	 0.5123	21.047	 0.062	  3.50	  	294.406070	+40.471870
 5285707	3676	 4.38	 	 0.4184	21.813	 0.020	 18.60	  	294.801570	+40.428490
 5286398	3940	 4.46	 	 0.5197	29.711	 0.131	 17.00	  	294.983580	+40.403831
 5288534	3956	 4.39	 	 0.5260	 3.862	 0.000	 87.80	PB	295.492030	+40.466030
 5300023	3839	 4.54	 	 0.4804	36.086	 0.149	  6.60	  	297.916960	+40.477451
 5341795	3818	 4.59	 	 0.4723	18.625	 0.040	  6.90	  	283.992740	+40.519131
 5342009	3846	 4.69	 	 0.4831	26.176	 0.121	  4.20	  	284.096370	+40.529758
 5344559	3662	 4.35	 	 0.4132	34.124	 0.831	 10.50	  	285.368530	+40.548889
 5351320	3595	 4.12	 	 0.3885	 1.819	 0.010	  9.70	PB	288.260890	+40.572430
 5353137	3616	 4.63	 	 0.3962	19.310	 0.025	  9.40	  	288.891940	+40.563141
 5353938	3961	 4.62	 	 0.5280	31.355	 0.525	  3.10	  	289.159550	+40.511810
 5357504	3959	 4.46	 	 0.5272	20.740	 0.394	  1.80	  	290.254210	+40.569431
 5359490	3958	 4.52	 	 0.5268	30.099	 0.122	  4.30	  	290.885890	+40.509628
 5360976	3918	 4.45	 	 0.5111	15.427	 0.021	  4.60	  	291.354610	+40.530041
 5364071	3974	 4.53	 	 0.5331	18.595	 0.709	  5.80	PL	292.294590	+40.591789
 5377130	3963	 4.54	 	 0.5288	18.584	 0.137	  5.30	  	295.736050	+40.511429
 5384713	3690	 4.33	 	 0.4237	20.393	 0.012	 16.10	  	297.429200	+40.561909
 5386327	3843	 4.66	 	 0.4819	19.065	 0.408	  7.50	  	297.790220	+40.531269
 5397064	3815	 4.60	 	 0.4711	42.686	12.568	  7.50	  	299.839870	+40.546612
 5397422	3967	 4.38	 	 0.5304	 9.308	 0.045	 17.40	  	299.909520	+40.531712
 5427241	3932	 4.65	 	 0.5166	18.983	 0.062	 13.00	  	283.689850	+40.615662
 5428088	3821	 4.28	 	 0.4734	11.627	 0.182	 26.90	  	284.136470	+40.631248
 5428199	3802	 4.49	 	 0.4661	21.884	 0.106	  2.50	  	284.196960	+40.641251
 5429117	3947	 4.67	 	 0.5225	 1.676	 0.872	  4.82	PB	284.666780	+40.661739
 5435923	3649	 4.34	 	 0.4084	29.629	 0.656	 10.80	  	287.669490	+40.684292
 5437354	3875	 4.57	 	 0.4943	16.531	 0.257	  4.40	  	288.237760	+40.670219
 5437459	3965	 4.40	 	 0.5296	13.251	 0.020	 23.40	  	288.284580	+40.638359
 5445367	3736	 4.39	 	 0.4410	20.597	 0.037	  7.20	  	290.844730	+40.622108
 5459288	3962	 4.52	 	 0.5284	32.888	 0.726	  5.40	  	294.889710	+40.694118
 5459593	3755	 4.48	 	 0.4482	26.237	 0.591	  5.00	  	294.974980	+40.657040
 5461756	3861	 4.61	 	 0.4889	13.282	 0.020	 11.00	  	295.501400	+40.641731
 5471468	3832	 4.44	 	 0.4777	18.206	 0.126	 10.00	  	297.658540	+40.695850
 5472185	3818	 4.45	 	 0.4723	34.094	 0.166	 12.80	  	297.850160	+40.623569
 5513769	3813	 4.57	 	 0.4704	22.692	 0.088	  4.10	  	284.296140	+40.715870
 5515000	3719	 4.62	 	 0.4346	20.331	 0.049	  7.30	  	284.966220	+40.717892
 5516027	3852	 4.47	 	 0.4854	15.550	 0.011	 11.30	  	285.486050	+40.771488
 5516671	3818	 4.40	 	 0.4723	 2.544	 0.005	 60.40	PB	285.774410	+40.766899
 5526021	3901	 4.62	 	 0.5045	26.298	 0.167	  4.90	  	289.461330	+40.714321
 5527289	3939	 4.59	 	 0.5193	32.387	 0.796	  5.10	  	289.847020	+40.777061
 5531953	3741	 4.57	 	 0.4429	24.204	 0.068	  9.70	PL	291.285000	+40.730049
 5543652	3932	 4.65	 	 0.5166	27.258	 0.303	  4.20	  	294.684540	+40.763039
 5562069	3620	 4.24	 	 0.3977	47.590	15.666	  5.50	  	298.731050	+40.705109
 5567165	3733	 4.38	 	 0.4399	35.442	 0.297	  4.70	  	299.694850	+40.720871
 5596422	3852	 4.45	 	 0.4854	36.014	 0.306	  3.90	  	282.712710	+40.838600
 5597604	3740	 4.53	 	 0.4425	34.666	14.485	  3.50	  	283.248720	+40.875820
 5599675	3999	 4.46	 	 0.5430	13.180	 0.111	 13.10	  	284.300020	+40.870689
 5601258	3845	 4.47	 	 0.4827	17.747	 0.034	 11.50	PL	285.086550	+40.898998
 5602310	3519	 4.06	 	 0.3611	49.715	23.845	  5.40	  	285.595790	+40.872669
 5603484	3509	 4.05	 	 0.3575	38.129	10.033	 10.90	  	286.136050	+40.899738
 5607395	3975	 4.47	 	 0.5335	 6.069	 0.005	 37.40	  	287.706300	+40.885929
 5608021	3677	 4.60	 	 0.4188	37.945	18.311	 12.30	  	287.956940	+40.836590
 5611092	3951	 4.54	 	 0.5241	14.436	 0.071	  3.80	  	289.048520	+40.823750
 5616280	3870	 4.56	 	 0.4924	17.696	 0.241	  4.30	  	290.656680	+40.877941
 5620587	3952	 4.63	 	 0.5244	23.100	 0.061	  3.30	  	292.001800	+40.883080
 5621528	3717	 4.57	 	 0.4338	15.979	 0.011	 21.00	  	292.297120	+40.845840
 5632313	3927	 4.45	 	 0.5146	18.646	 0.052	  6.00	  	295.328580	+40.869461
 5636734	3852	 4.37	 	 0.4854	41.174	12.619	  5.60	  	296.353730	+40.871120
 5682522	3872	 4.47	 	 0.4932	16.633	 0.032	  5.30	  	282.646730	+40.902328
 5685704	3957	 4.51	 	 0.5264	 0.511	 0.000	126.70	PB	284.217800	+40.989719
 5693289	3739	 4.56	 	 0.4421	27.340	 0.076	  5.10	  	287.702790	+40.960709
 5695850	3962	 4.54	 	 0.5284	17.226	 0.057	  5.20	  	288.700320	+40.917278
 5699934	3988	 4.34	 	 0.5386	27.504	 0.121	  9.20	  	290.046230	+40.978439
 5709193	3940	 4.52	 	 0.5197	13.507	 0.177	  9.60	  	292.959320	+40.903141
 5709283	3846	 4.37	 	 0.4831	28.607	 0.136	  9.20	  	292.986970	+40.977680
 5717765	3656	 4.51	 	 0.4110	47.784	22.866	 12.40	  	295.374730	+40.941841
 5738138	3842	 4.58	 	 0.4815	41.746	16.995	  5.00	  	299.608730	+40.920250
 5739251	3813	 4.65	 	 0.4704	 9.287	 0.071	 23.80	  	299.826200	+40.908352
 5785926	3852	 4.55	 	 0.4854	36.321	 0.297	  5.80	  	290.195830	+41.026150
 5791720	3533	 4.13	 	 0.3661	 0.766	 0.005	 31.00	PB	292.074280	+41.070080
 5794240	3948	 4.54	 	 0.5229	15.816	 0.021	 26.00	PL	292.872890	+41.064270
 5803144	3900	 4.42	 	 0.5041	17.655	 0.040	  8.80	  	295.349490	+41.051960
 5812016	3825	 4.53	 	 0.4750	40.602	12.100	  8.10	  	297.326350	+41.050140
 5818042	3690	 4.51	 	 0.4237	20.842	 0.087	  8.20	  	298.565860	+41.016239
 5853070	3602	 4.57	 	 0.3911	42.849	24.179	  7.60	  	282.433200	+41.156689
 5855808	3731	 4.50	 	 0.4391	16.378	 7.718	  4.50	  	283.719570	+41.131329
 5855851	3504	 4.01	 	 0.3558	33.787	 0.061	 10.30	  	283.746060	+41.155891
 5856480	3740	 4.37	 	 0.4425	33.777	 0.149	 13.00	  	284.049800	+41.139530
 5858361	3636	 4.29	 	 0.4036	22.589	 0.481	 12.70	  	285.016420	+41.162788
 5859365	3808	 4.63	 	 0.4684	 9.512	 0.015	 15.20	  	285.505950	+41.181499
 5867742	3690	 4.51	 	 0.4237	33.378	 0.866	  6.20	  	289.025210	+41.178219
 5869314	3943	 4.54	 	 0.5209	16.490	 0.043	  5.40	  	289.546690	+41.180119
 5873644	3794	 4.58	 	 0.4631	17.083	 0.132	  5.20	  	290.910520	+41.120220
 5879323	3742	 4.48	 	 0.4433	20.311	 0.643	  3.30	  	292.788090	+41.169640
 5880374	3934	 4.46	 	 0.5174	17.481	 0.132	  3.70	  	293.101530	+41.183609
 5887519	3972	 4.55	 	 0.5323	35.064	 0.332	  9.40	  	295.101200	+41.108452
 5894341	3596	 4.30	 	 0.3889	29.179	 0.106	 14.40	  	296.710660	+41.127430
 5895919	3813	 4.69	 	 0.4704	18.901	 0.062	  2.90	  	297.067470	+41.137421
 5900600	3950	 4.56	 	 0.5237	14.017	 0.025	  5.70	  	298.094760	+41.199711
 5904275	3608	 4.36	 	 0.3933	28.975	 0.577	 10.80	  	298.859950	+41.195240
 5905382	3751	 4.47	 	 0.4467	32.612	 0.219	  9.10	  	299.070980	+41.141392
 5937213	3811	 4.42	 	 0.4696	20.720	 0.025	  6.50	  	282.521180	+41.258270
 5937264	3930	 4.50	 	 0.5158	15.427	 0.101	  4.60	  	282.548680	+41.239368
 5938531	3874	 4.65	 	 0.4939	14.835	 0.020	 13.40	  	283.128540	+41.290562
 5939661	3838	 4.54	 	 0.4800	27.402	12.496	  5.10	  	283.647190	+41.264339
 5941354	3938	 4.55	 	 0.5189	35.800	 1.443	  6.70	  	284.511380	+41.296162
 5942891	3934	 4.54	 	 0.5174	 9.706	 0.010	 42.80	  	285.255680	+41.254501
 5950024	3921	 4.55	 	 0.5123	14.120	 0.020	  7.30	  	288.469700	+41.213451
 5950533	3654	 4.36	 	 0.4103	21.047	 0.173	  8.30	  	288.663600	+41.224258
 5950611	3813	 4.38	 	 0.4704	17.083	 0.046	  8.10	  	288.693700	+41.298481
 5950779	3675	 4.45	 	 0.4181	37.087	17.351	  5.80	  	288.758540	+41.257702
 5954552	3929	 4.59	 	 0.5154	14.937	 0.015	 15.00	  	289.942230	+41.243790
 5956142	3965	 4.50	 	 0.5296	18.441	 0.017	  4.60	  	290.442690	+41.231758
 5956957	3964	 4.54	 	 0.5292	14.906	 0.056	 10.80	  	290.713590	+41.221260
 5962956	3695	 4.20	 	 0.4256	 1.400	 0.005	 58.60	PB	292.683170	+41.214668
 5966302	3840	 4.47	 	 0.4808	16.122	 0.107	  4.00	  	293.669980	+41.223820
 5966921	3831	 4.29	 	 0.4773	 5.149	 0.000	140.80	PB	293.847530	+41.292568
 5977899	3804	 4.51	 	 0.4669	33.716	 0.857	  8.30	  	296.560420	+41.264729
 5977935	3811	 4.60	 	 0.4696	17.553	 0.092	  7.50	  	296.569210	+41.279190
 6019923	3743	 4.43	 	 0.4436	39.621	18.475	  5.60	  	282.569580	+41.346851
 6020256	3842	 4.59	 	 0.4815	20.209	 0.148	  5.70	  	282.735260	+41.389580
 6021570	3970	 4.53	 	 0.5315	15.918	 0.021	  9.70	  	283.388150	+41.384090
 6032373	3963	 4.56	 	 0.5288	24.193	 0.149	  5.80	  	288.453980	+41.370831
 6032666	3807	 4.54	 	 0.4681	31.999	 0.096	  9.10	  	288.571870	+41.304790
 6032907	3938	 4.50	 	 0.5189	22.027	10.692	  7.50	  	288.653080	+41.392181
 6034587	3689	 4.51	 	 0.4233	30.937	14.319	  5.20	  	289.256990	+41.356560
 6036286	3632	 4.35	 	 0.4021	52.484	25.351	 13.90	  	289.815670	+41.396439
 6038882	3971	 4.39	 	 0.5319	 9.164	 0.015	 32.50	  	290.629360	+41.339588
 6044117	3808	 4.49	 	 0.4684	17.736	 0.034	 11.10	  	292.367860	+41.315681
 6049470	   0	     	i	 0.0000	25.399	 0.106	  6.30	  	293.964230	+41.318802
 6072268	3920	 4.42	 	 0.5119	25.869	 0.515	  6.80	  	299.389100	+41.335621
 6099785	3678	 4.33	 	 0.4192	40.867	19.820	  9.40	  	282.220490	+41.474930
 6102338	3624	 4.19	 	 0.3992	 5.262	 0.045	 21.00	  	283.423980	+41.492931
 6104287	3949	 4.45	 	 0.5233	15.795	 0.043	  9.80	  	284.372830	+41.494610
 6105433	3874	 4.50	 	 0.4939	18.094	 0.103	  4.60	  	284.962190	+41.425869
 6106282	3912	 4.41	 	 0.5088	17.542	 0.040	  7.60	  	285.349950	+41.452209
 6117713	3979	 4.42	 	 0.5351	38.742	11.370	  4.20	  	289.952120	+41.404140
 6117832	3961	 4.53	 	 0.5280	 0.613	 0.000	 75.10	PB	289.989230	+41.436741
 6119211	3863	 4.56	 	 0.4897	26.584	 0.197	  5.80	  	290.396820	+41.499088
 6125019	3827	 4.57	 	 0.4758	31.458	 0.385	  4.30	  	292.285640	+41.496929
 6129451	3728	 4.20	 	 0.4380	 3.290	 0.000	 87.00	PB	293.648990	+41.451778
 6145790	3834	 4.54	 	 0.4784	34.809	 0.236	  7.10	  	297.639620	+41.423092
 6147224	3903	 4.57	 	 0.5052	15.468	 0.086	  8.20	  	298.005000	+41.460911
 6151139	3851	 4.39	 	 0.4850	16.776	 0.080	  8.60	  	298.854250	+41.454021
 6181526	3631	 4.16	 	 0.4018	48.397	13.965	  4.80	  	282.460330	+41.564899
 6183511	3566	 4.18	 	 0.3780	28.995	 0.833	  5.40	PL	283.401950	+41.516331
 6183859	3669	 4.50	 	 0.4158	29.997	 0.212	 32.20	  	283.561370	+41.511909
 6183971	3935	 4.50	 	 0.5178	26.216	 0.242	  8.60	  	283.617130	+41.587051
 6184059	3865	 4.57	 	 0.4904	15.693	 0.075	  5.90	  	283.660980	+41.554691
 6185976	3874	 4.54	 	 0.4939	35.606	 1.260	  3.20	  	284.583100	+41.516739
 6187942	3691	 4.29	 	 0.4241	39.417	11.374	 13.20	  	285.548680	+41.556980
 6192309	3658	 4.65	 	 0.4117	21.598	 0.068	 15.00	  	287.476170	+41.535061
 6212599	3719	 4.60	 	 0.4346	29.608	 0.030	  6.50	  	294.148160	+41.545361
 6224062	3830	 4.49	 	 0.4769	 8.541	 0.005	 29.00	  	296.978330	+41.591728
 6224166	3684	 4.38	 	 0.4214	33.460	 0.367	  6.00	  	296.997340	+41.589039
 6267461	3968	 4.53	 	 0.5307	14.620	 0.025	  7.50	  	284.885010	+41.601501
 6272732	3935	 4.35	 	 0.5178	28.832	 0.045	  9.50	  	287.420720	+41.624371
 6276708	3993	 4.38	 	 0.5406	24.408	 0.142	 10.60	  	289.080200	+41.697830
 6280503	3836	 4.45	 	 0.4792	15.346	 0.182	  4.70	  	290.285100	+41.647930
 6290811	3689	 4.55	 	 0.4233	 2.820	 0.000	 19.90	PB	293.641480	+41.623211
 6307686	3989	 4.40	 	 0.5390	13.343	 0.020	 10.10	  	297.802920	+41.642899
 6310107	3653	 4.41	 	 0.4099	43.544	18.584	 11.00	  	298.364200	+41.667721
 6310128	3903	 4.42	 	 0.5052	27.136	 0.303	  3.30	  	298.369660	+41.674080
 6310265	3730	 4.40	 	 0.4387	 4.475	 0.000	 36.60	PB	298.397250	+41.659142
 6344749	3968	 4.60	 	 0.5307	33.154	 0.009	 14.10	  	284.069000	+41.783070
 6345048	3736	 4.71	 	 0.4410	22.487	 0.081	  3.40	  	284.217320	+41.761978
 6345835	   0	     	i	 0.0000	32.418	 0.446	  2.60	  	284.612150	+41.792351
 6347434	3910	 4.52	 	 0.5080	15.397	 0.108	  5.60	  	285.411500	+41.715858
 6347864	3915	 4.35	 	 0.5099	24.949	 0.656	  3.20	  	285.609440	+41.712509
 6352355	3849	 4.50	 	 0.4842	28.668	 0.045	  5.20	  	287.712130	+41.745461
 6356144	3863	 4.34	 	 0.4897	 5.354	 0.000	 47.00	PB	289.195740	+41.737930
 6358735	3677	 4.56	 	 0.4188	32.224	 0.087	  4.80	  	290.035030	+41.764610
 6362190	3842	 4.42	 	 0.4815	20.188	 0.049	  6.00	  	291.189940	+41.764992
 6363233	3889	 4.45	 	 0.4998	15.816	 0.064	  4.50	  	291.552520	+41.725960
 6363613	3876	 4.59	 	 0.4947	23.601	 0.061	  7.50	  	291.672180	+41.791328
 6366330	3820	 4.64	 	 0.4731	16.705	 0.286	  8.80	  	292.552640	+41.760208
 6368045	3978	 4.44	 	 0.5347	42.911	22.268	  2.23	  	293.115540	+41.731159
 6371100	3903	 4.45	 	 0.5052	29.905	 0.035	 16.70	  	294.019810	+41.736790
 6382217	3952	 4.46	 	 0.5244	33.409	 0.332	 17.50	PL	296.856630	+41.758179
 6385060	3808	 4.39	 	 0.4684	38.293	13.858	  6.70	  	297.493990	+41.741211
 6385586	3829	 4.34	 	 0.4765	30.385	 0.166	  6.80	  	297.633270	+41.793018
 6388229	3922	 4.58	 	 0.5127	33.879	 0.149	  5.40	  	298.255400	+41.750210
 6420895	3905	 4.58	 	 0.5060	28.668	 0.045	  7.70	  	282.752350	+41.827980
 6423086	3893	 4.56	 	 0.5013	26.176	 0.061	  9.30	  	283.809630	+41.804771
 6423563	3997	 4.51	 	 0.5422	35.258	 0.192	  6.50	  	284.059750	+41.884129
 6424516	3640	 4.58	 	 0.4051	32.633	 0.157	  9.40	  	284.553530	+41.816811
 6425928	3947	 4.49	 	 0.5225	 2.973	 0.025	 43.60	PB	285.272490	+41.858158
 6425989	3804	 4.63	 	 0.4669	16.163	 0.193	 11.20	  	285.302370	+41.868549
 6432245	3978	 4.49	 	 0.5347	15.673	 6.862	  1.50	  	288.113830	+41.822960
 6435936	3743	 4.69	 	 0.4436	20.209	 0.025	 21.00	PL	289.508480	+41.812119
 6436291	3515	 4.04	 	 0.3597	47.406	12.277	 10.60	  	289.627530	+41.884190
 6438389	3568	 4.16	 	 0.3787	43.248	19.823	  3.80	  	290.305730	+41.855122
 6452389	3817	 4.58	 	 0.4719	19.555	 0.012	  6.90	  	294.778840	+41.863239
 6464396	3934	 4.53	 	 0.5174	13.159	 0.005	 23.80	  	297.691590	+41.864960
 6469920	3811	 4.60	 	 0.4696	16.991	 0.229	  9.90	  	298.902190	+41.845631
 6497141	3975	 4.52	 	 0.5335	22.937	 0.054	 11.60	  	281.638700	+41.946362
 6497146	3822	 4.44	 	 0.4738	37.026	14.223	  8.90	  	281.645810	+41.951092
 6502294	3816	 4.48	 	 0.4715	33.460	 0.192	  7.80	  	284.121370	+41.914509
 6502475	3932	 4.49	 	 0.5166	14.171	 0.035	  6.90	  	284.205290	+41.903461
 6503104	3662	 4.29	 	 0.4132	29.404	 0.879	 10.40	  	284.483460	+41.900299
 6504214	3833	 4.45	 	 0.4781	22.119	 0.102	  4.60	  	285.005980	+41.972500
 6504736	3659	 4.22	 	 0.4121	37.496	17.165	  7.20	  	285.262850	+41.950439
 6508734	3779	 4.56	 	 0.4573	36.505	 0.280	 13.70	  	287.084380	+41.954060
 6526930	3923	 4.42	 	 0.5131	29.322	 0.212	 10.90	  	293.245030	+41.944939
 6541829	3906	 4.41	 	 0.5064	26.789	 0.472	  3.20	  	297.095860	+41.921799
 6543547	3929	 4.51	 	 0.5154	16.756	 0.096	  5.10	  	297.511470	+41.950581
 6545415	3839	 4.49	 	 0.4804	 5.497	 0.030	 26.90	  	297.897000	+41.912239
 6548898	3665	 4.29	 	 0.4143	21.864	 9.971	 13.40	  	298.626980	+41.980358
 6579884	3869	 4.50	 	 0.4920	34.911	 0.367	  3.50	  	281.709720	+42.074459
 6583177	3818	 4.58	 	 0.4723	19.555	 0.111	  4.30	  	283.269290	+42.093681
 6584500	3714	 4.65	 	 0.4327	34.512	 0.446	  5.50	  	283.869840	+42.030479
 6585067	3726	 4.43	 	 0.4372	19.392	 0.012	 14.30	  	284.104640	+42.031971
 6592335	3732	 4.40	 	 0.4395	44.607	20.511	  6.62	  	287.262150	+42.032310
 6600771	3908	 4.51	 	 0.5072	13.067	 0.096	 23.50	  	290.150600	+42.061539
 6605595	3516	 4.04	 	 0.3600	52.658	15.503	  8.20	  	291.646700	+42.050339
 6607612	3914	 4.38	 	 0.5095	18.217	 0.017	 13.70	  	292.276700	+42.014591
 6609906	3805	 4.53	 	 0.4673	18.523	 0.103	  6.30	  	292.927860	+42.028210
 6610837	3640	 4.26	 	 0.4051	18.053	 0.069	 17.30	  	293.200130	+42.016121
 6611875	3546	 4.11	 	 0.3708	25.093	 0.212	 11.80	  	293.496520	+42.059940
 6620003	3955	 4.44	 	 0.5256	 3.433	 0.000	  3.30	EB	295.622220	+42.092880
 6631015	3918	 4.32	 	 0.5111	15.693	 0.193	 12.90	  	298.044130	+42.011681
 6666233	3932	 4.45	 	 0.5166	24.490	 7.547	  7.10	PL	282.284390	+42.154190
 6668646	3731	 4.53	 	 0.4391	 6.151	 0.000	 38.40	PB	283.433650	+42.140961
